,Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
103,4,CVS Health,Healthcare,"292,111",32.0%,"258,000","Woonsocket, Rhode Island"
104,5,UnitedHealth Group,Healthcare,"287,597",11.8%,"350,000","Minnetonka, Minnesota"
105,6,Exxon Mobil,Petroleum industry,"285,640",57.4%,"63,000","Spring, Texas"
106,7,Berkshire Hathaway,Conglomerate,"276,094",12.5%,"372,000","Omaha, Nebraska"
107,8,Alphabet,Technology,"257,637",41.2%,"156,000","Mountain View, California"
108,9,McKesson Corporation,Health,"238,228",3.1%,"67,500","Irving, Texas"
109,10,AmerisourceBergen,Pharmaceutical industry,"213,989",12.7%,"40,000","Chesterbrook, Pennsylvania"
110,11,Microsoft,Technology,"198,087",17.5%,"181,000","Redmond, Washington"
111,12,Costco,Retail,"195,929",17.5%,"288,000","Issaquah, Washington"
112,13,Cigna,Health Insurance,"174,078",8.5%,"72,963","Bloomfield, Connecticut"
113,14,AT&T,Conglomerate,"168,864",1.7%,"202,600","Dallas, Texas"
114,15,Cardinal Health,Healthcare,"162,467",6.2%,"46,827","Dublin, Ohio"
115,16,Chevron Corporation,Petroleum industry,"162,465",71.6%,"42,595","San Ramon, California"
116,17,The Home Depot,Retail,"151,157",14.4%,"490,600","Atlanta, Georgia"
117,18,Walgreens Boots Alliance,Pharmaceutical industry,"148,579",6.5%,"258,500","Deerfield, Illinois"
118,19,Marathon Petroleum,Petroleum industry,"141,032",58.5%,"17,700","Findlay, Ohio"
119,20,Elevance Health,Healthcare,"138,639",13.8%,"98,200","Indianapolis, Indiana"
120,21,Kroger,Retail,"137,888",4.1%,"420,000","Cincinnati, Ohio"
121,22,Ford Motor Company,Automotive industry,"136,341",7.2%,"183,000","Dearborn, Michigan"
122,23,Verizon Communications,Telecommunications,"133,613",4.1%,"118,400","New York City, New York"
123,24,JPMorgan Chase,Financial services,"127,202",1.8%,"271,025","New York City, New York"
124,25,General Motors,Automotive,"127,004",3.7%,"157,000","Detroit, Michigan"
125,26,Centene,Healthcare,"125,982",13.4%,"72,500","St. Louis, Missouri"
126,27,Meta Platforms,Technology,"117,385",37.2%,"71,970","Menlo Park, California"
127,28,Comcast,Telecommunications,"116,385",12.4%,"189,000","Philadelphia, Pennsylvania"
128,29,Phillips 66,Petroleum industry,"114,852",75.4%,"14,000","Houston, Texas"
129,30,Valero Energy,Petroleum industry,"108,332",80.2%,"9,804","San Antonio, Texas"
130,31,Dell Technologies,Technology,"106,995",13.6%,"133,000","Round Rock, Texas"
131,32,Target Corporation,Retail,"106,005",13.3%,"450,000","Minneapolis, Minnesota"
132,33,Fannie Mae,Financials,"101,543",4.6%,"7,400","Washington, D.C."
133,34,United Parcel Service,Transportation,"97,287",15.0%,"400,945","Atlanta, Georgia"
134,35,Lowe's,Retail,"96,250",7.4%,"270,000","Mooresville, North Carolina"
135,36,Bank of America,Financials,"93,851",0.1%,"208,248","Charlotte, North Carolina"
136,37,Johnson & Johnson,Pharmaceutical industry,"93,775",13.6%,"141,700","New Brunswick, New Jersey"
137,38,Archer Daniels Midland,Food industry,"85,959",32.5%,"39,979","Chicago, Illinois"
138,39,FedEx,Transportation,"83,959",21.3%,"484,000","Memphis, Tennessee"
139,40,Humana,Health Insurance,"83,064",7.7%,"95,500","Louisville, Kentucky"
140,41,Wells Fargo,Financials,"82,407",2.6%,"247,848","San Francisco, California"
141,42,State Farm,Financials,"82,407",4.2%,"53,586","Bloomington, Illinois"
142,43,Pfizer,Pharmaceutical industry,"81,288",94.0%,"79,000","New York City, New York"
143,44,Citigroup,Financials,"79,865",10.1%,"221,768","New York City, New York"
144,45,PepsiCo,Beverage,"79,474",12.9%,"309,000","Purchase, New York"
145,46,Intel,Technology,"79,024",1.5%,"121,100","Santa Clara, California"
146,47,Procter & Gamble,Consumer products Manufacturing,"76,118",7.3%,"101,000","Cincinnati, Ohio"
147,48,General Electric,Conglomerate,"74,196",6.8%,"168,000","Boston, Massachusetts"
148,49,IBM,Technology,"72,344",1.7%,"297,800","Armonk, New York"
149,50,MetLife,Financials,"71,080",4.8%,"43,000","New York City, New York"
150,51,Prudential Financial,Financials,"70,934",24.4%,"40,916","Newark, New Jersey"
151,52,Albertsons,Retail,"69,690",11.6%,"300,000","Boise, Idaho"
152,53,The Walt Disney Company,Media,"67,418",3.1%,"171,000","Burbank, California"
153,54,Energy Transfer Partners,Petroleum industry,"67,418",73.1%,"12,558","Dallas, Texas"
154,55,Lockheed Martin,Aerospace and Defense,"67,044",2.5%,"114,000","Bethesda, Maryland"
155,56,Freddie Mac,Financials,"65,898",0.5%,"7,301","McLean, Virginia"
156,57,Goldman Sachs,Financials,"64,989",2.7%,"43,900","New York City, New York"
157,58,Raytheon Technologies,Conglomerate,"64,388",13.8%,"174,000","Waltham, Massachusetts"
158,59,HP,Technology,"63,487",12.1%,"51,000","Palo Alto, California"
159,60,Boeing,Aerospace and defense,"62,286",7.1%,"142,000","Chicago, Illinois"
160,61,Morgan Stanley,Financials,"61,121",17.4%,"74,814","New York City, New York"
161,62,HCA Healthcare,Healthcare,"58,752",14.0%,"244,000","Nashville, Tennessee"
162,63,AbbVie,Pharmaceutical industry,"56,197",22.7%,"50,000","Lake Bluff, Illinois"
163,64,Dow Chemical Company,Chemical industry,"54,968",42.6%,"35,700","Midland, Michigan"
164,65,Tesla,Automotive and Energy,"53,823",70.7%,"99,290","Austin, Texas"
165,66,Allstate,Insurance,"53,228",18.8%,"54,500","Northfield Township, Cook County, Illinois"
166,67,AIG,Insurance,"52,057",19.0%,"36,600","New York City, New York"
167,68,Best Buy,Retail,"51,761",9.5%,"81,375","Richfield, Minnesota"
168,69,Charter Communications,Telecommunications,"51,682",7.5%,"93,700","Stamford, Connecticut"
169,70,Sysco,Food Service,"51,298",3.0%,"57,710","Houston, Texas"
170,71,Merck & Co.,Pharmaceutical industry,"51,216",6.7%,"67,500","Kenilworth, New Jersey"
171,72,New York Life Insurance Company,Insurance,"51,199",9.6%,"13,344","New York City, New York"
172,73,Novartis,Pharmaceuticals,"51,332",6.0%,"110,000","Cambridge, Massachusetts"
173,74,Caterpillar,Machinery,"50,971",22.1%,"107,700","Deerfield, Illinois"
174,75,Cisco,Telecom Hardware Manufacturing,"49,818",1.0%,"79,500","San Jose, California"
175,76,TJX,Retail,"48,550",51.1%,"340,000","Framingham, Massachusetts"
176,77,Publix,Retail,"48,394",7.1%,"232,000","Lakeland, Florida"
177,78,ConocoPhillips,Petroleum industry,"48,349",151.1%,"9,900","Houston, Texas"
178,79,Liberty Mutual Group,Insurance,"48,200",10.1%,"45,000","Boston, Massachusetts"
179,80,Progressive Corporation,Insurance,"47,702",11.8%,"49,077","Mayfield Village, Ohio"
180,81,Nationwide Mutual Insurance Company,Financial,"47,376",13.0%,"24,134","Columbus, Ohio"
